94846KORD ORD20140101021511001/01/14 02:15:31  5-MIN KORD 010815Z 36007KT 7SM OVC012 M12/M15 A3026 360 76 -2800 010/07 RMK AO2 T11171150 $
94846KORD ORD20140101022011001/01/14 02:20:31  5-MIN KORD 010820Z 36007KT 7SM OVC012 M12/M14 A3026 360 80 -2800 360/07 RMK AO2 T11171144 $
94846KORD ORD20140101022511001/01/14 02:25:31  5-MIN KORD 010825Z 01008KT 7SM OVC012 M11/M14 A3026 360 77 -2700 010/08 RMK AO2 T11111144 $
94846KORD ORD20140101023011001/01/14 02:30:31  5-MIN KORD 010830Z 36008KT 7SM OVC014 M11/M14 A3025 360 77 -2700 010/08 RMK AO2 T11111144 $
94846KORD ORD20140101023511001/01/14 02:35:31  5-MIN KORD 010835Z 36007KT 7SM OVC014 M11/M14 A3025 360 77 -2700 010/07 RMK AO2 T11111144 $
94846KORD ORD20140101024011001/01/14 02:40:31  5-MIN KORD 010840Z 36007KT 7SM OVC014 M11/M14 A3025 370 77 -2700 360/07 RMK AO2 T11111144 $
94846KORD ORD20140101024512901/01/14 02:45:31  5-MIN KORD 010845Z 01008KT 7SM OVC014 M11/M14 A3025 370 77 -2700 010/08 RMK AO2 SLP257 60000 T11111144 56015 $
94846KORD ORD20140101025013201/01/14 02:50:31  5-MIN KORD 010850Z 36007KT 6SM HZ OVC013 M11/M14 A3025 370 80 -2700 360/07 RMK AO2 SLP257 60000 T11111139 56015 $
94846KORD ORD20140101025511301/01/14 02:55:31  5-MIN KORD 010855Z 36008KT 6SM HZ OVC013 M11/M14 A3025 370 80 -2700 360/08 RMK AO2 T11111139 $
94846KORD ORD20140101030011301/01/14 03:00:31  5-MIN KORD 010900Z 01008KT 6SM HZ OVC013 M11/M14 A3025 370 80 -2700 010/08 RMK AO2 T11111139 $
94846KORD ORD20140101030511301/01/14 03:05:31  5-MIN KORD 010905Z 36008KT 6SM HZ OVC013 M11/M14 A3025 370 80 -2700 010/08 RMK AO2 T11111139 $
94846KORD ORD20140101031012601/01/14 03:10:31  5-MIN KORD 010910Z 36009KT 6SM -SN OVC012 M11/M14 A3025 370 80 -2700 010/09 RMK AO2 SNB07 P0000 T11111139 $
94846KORD ORD20140101031512601/01/14 03:15:31  5-MIN KORD 010915Z 36007KT 6SM -SN OVC012 M11/M14 A3025 370 80 -2700 360/07 RMK AO2 SNB07 P0000 T11111139 $
94846KORD ORD20140101032012801/01/14 03:20:31  5-MIN KORD 010920Z 36008KT 6SM HZ OVC012 M11/M13 A3024 370 80 -2600 360/08 RMK AO2 SNB07E16 P0000 T11061133 $
94846KORD ORD20140101032512801/01/14 03:25:31  5-MIN KORD 010925Z 36007KT 6SM HZ OVC012 M11/M13 A3024 370 80 -2600 360/07 RMK AO2 SNB07E16 P0000 T11061133 $
94846KORD ORD20140101033012801/01/14 03:30:31  5-MIN KORD 010930Z 36007KT 6SM HZ OVC011 M11/M13 A3024 380 80 -2600 360/07 RMK AO2 SNB07E16 P0000 T11061133 $
94846KORD ORD20140101033512801/01/14 03:35:31  5-MIN KORD 010935Z 36005KT 6SM HZ OVC011 M11/M13 A3024 380 80 -2600 360/05 RMK AO2 SNB07E16 P0000 T11061133 $
94846KORD ORD20140101034012801/01/14 03:40:31  5-MIN KORD 010940Z 36007KT 6SM HZ OVC011 M11/M13 A3023 380 80 -2600 010/07 RMK AO2 SNB07E16 P0000 T11061133 $
94846KORD ORD20140101034513501/01/14 03:45:31  5-MIN KORD 010945Z 36007KT 6SM HZ OVC011 M11/M13 A3023 380 80 -2600 010/07 RMK AO2 SNB07E16 SLP251 P0000 T11061133 $
94846KORD ORD20140101035015301/01/14 03:50:31  5-MIN KORD 010950Z 01007KT 6SM R10L/5500VP6000FT HZ OVC011 M11/M13 A3023 390 80 -2600 010/07 RMK AO2 SNB07E16 SLP250 P0000 T11061133 $
94846KORD ORD20140101035513101/01/14 03:55:31  5-MIN KORD 010955Z 36008KT 6SM R10L/5500VP6000FT HZ OVC012 M10/M13 A3023 380 80 -2600 010/08 RMK AO2 T11001128 $
94846KORD ORD20140101040011301/01/14 04:00:31  5-MIN KORD 011000Z 36007KT 6SM HZ OVC012 M10/M13 A3023 380 80 -2600 360/07 RMK AO2 T11001128 $
94846KORD ORD20140101040511301/01/14 04:05:31  5-MIN KORD 011005Z 36006KT 6SM HZ OVC012 M10/M13 A3023 380 80 -2600 360/06 RMK AO2 T11001128 $
94846KORD ORD20140101041011301/01/14 04:10:31  5-MIN KORD 011010Z 36007KT 6SM HZ OVC012 M10/M13 A3024 380 80 -2600 360/07 RMK AO2 T11001128 $
94846KORD ORD20140101041511301/01/14 04:15:31  5-MIN KORD 011015Z 35007KT 6SM HZ OVC012 M10/M13 A3023 380 80 -2600 350/07 RMK AO2 T11001128 $
94846KORD ORD20140101042011301/01/14 04:20:31  5-MIN KORD 011020Z 36006KT 6SM HZ OVC012 M10/M13 A3023 380 80 -2600 360/06 RMK AO2 T11001128 $
94846KORD ORD20140101042511301/01/14 04:25:31  5-MIN KORD 011025Z 36006KT 6SM HZ OVC012 M10/M13 A3023 380 80 -2600 360/06 RMK AO2 T11001128 $
94846KORD ORD20140101043011301/01/14 04:30:31  5-MIN KORD 011030Z 35006KT 6SM HZ OVC012 M10/M13 A3024 380 80 -2600 350/06 RMK AO2 T11001128 $
94846KORD ORD20140101043511301/01/14 04:35:31  5-MIN KORD 011035Z 35006KT 6SM HZ OVC012 M10/M13 A3023 380 80 -2600 350/06 RMK AO2 T11001128 $
94846KORD ORD20140101044011301/01/14 04:40:31  5-MIN KORD 011040Z 36007KT 6SM HZ OVC013 M10/M13 A3023 380 80 -2600 360/07 RMK AO2 T11001128 $
94846KORD ORD20140101044512001/01/14 04:45:31  5-MIN KORD 011045Z 36006KT 6SM HZ OVC013 M10/M13 A3023 390 80 -2600 360/06 RMK AO2 SLP250 T11001128 $
94846KORD ORD20140101045011701/01/14 04:50:31  5-MIN KORD 011050Z 35007KT 8SM OVC013 M10/M13 A3023 380 80 -2600 350/07 RMK AO2 SLP251 T11001128 $
94846KORD ORD20140101045511101/01/14 04:55:31  5-MIN KORD 011055Z 35007KT 10SM OVC013 M10/M12 A3023 390 84 -2600 360/07 RMK AO2 T11001122 $
94846KORD ORD20140101050011101/01/14 05:00:31  5-MIN KORD 011100Z 36007KT 10SM OVC013 M09/M12 A3023 390 80 -2500 360/07 RMK AO2 T10941122 $
94846KORD ORD20140101050511101/01/14 05:05:31  5-MIN KORD 011105Z 35007KT 10SM OVC012 M09/M12 A3023 390 80 -2500 360/07 RMK AO2 T10941122 $
94846KORD ORD20140101051011101/01/14 05:10:31  5-MIN KORD 011110Z 36007KT 10SM OVC012 M09/M12 A3023 380 80 -2500 360/07 RMK AO2 T10941122 $
